,Unnamed: 0,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,support_q,lift_q,support_lift_q
0,0,frozenset({3524026}),frozenset({264715}),0.03491758319432271,0.0109135118323956,0.0014702140292346404,0.042105263157894736,3.85808562857922,0.001089140571884742,1.0325628173178287,2,3,23
1,1,frozenset({264715}),frozenset({3524026}),0.0109135118323956,0.03491758319432271,0.0014702140292346404,0.13471502590673576,3.85808562857922,0.001089140571884742,1.1153347691227289,2,3,23
2,2,frozenset({264715}),frozenset({3978011}),0.0109135118323956,0.03189233509570528,0.0012157539087901835,0.11139896373056994,3.4929698122221,0.0008676965323604784,1.0894739319331128,1,3,13
3,3,frozenset({3978011}),frozenset({264715}),0.03189233509570528,0.0109135118323956,0.0012157539087901835,0.038120567375886524,3.4929698122221,0.0008676965323604784,1.028285307514339,1,3,13
4,4,frozenset({264715}),frozenset({4108011}),0.0109135118323956,0.03553959682207583,0.0012440272555062342,0.11398963730569947,3.2073981558196376,0.0008561654450699405,1.0885430281481834,1,3,13
5,5,frozenset({4108011}),frozenset({264715}),0.03553959682207583,0.0109135118323956,0.0012440272555062342,0.03500397772474145,3.2073981558196376,0.0008561654450699405,1.024964316262719,1,3,13
6,6,frozenset({264715}),frozenset({4628597}),0.0109135118323956,0.06717747179733666,0.001498487375950691,0.13730569948186527,2.0439247832382543,0.0007653452426200359,1.0812897774361203,2,2,22
7,7,frozenset({4628597}),frozenset({264715}),0.06717747179733666,0.0109135118323956,0.001498487375950691,0.022306397306397302,2.0439247832382548,0.0007653452426200359,1.0116528178589013,2,2,22
8,8,frozenset({4108011}),frozenset({726718}),0.03553959682207583,0.015606887387260031,0.0012440272555062342,0.03500397772474145,2.2428545075115585,0.0006893647701154723,1.020100694603639,1,2,12
9,9,frozenset({726718}),frozenset({4108011}),0.015606887387260031,0.03553959682207583,0.0012440272555062342,0.07971014492753623,2.242854507511558,0.0006893647701154723,1.047996343610658,1,2,12
10,10,frozenset({4628597}),frozenset({726718}),0.06717747179733666,0.015606887387260031,0.0019225875766914532,0.028619528619528618,1.8337755575074413,0.0008741563393895831,1.013396029275507,3,2,32
11,11,frozenset({726718}),frozenset({4628597}),0.015606887387260031,0.06717747179733666,0.0019225875766914532,0.12318840579710146,1.8337755575074413,0.0008741563393895831,1.0638802387765909,3,2,32
12,12,frozenset({803921}),frozenset({3524026}),0.01834940201871696,0.03491758319432271,0.0019791342701235546,0.1078582434514638,3.088937823995808,0.0013384174985689322,1.081759047507573,3,3,33
13,13,frozenset({3524026}),frozenset({803921}),0.03491758319432271,0.01834940201871696,0.0019791342701235546,0.05668016194331984,3.0889378239958085,0.0013384174985689322,1.0406338957140642,3,3,33
14,14,frozenset({803921}),frozenset({3978011}),0.01834940201871696,0.03189233509570528,0.002629421244592723,0.1432973805855162,4.493160508802413,0.002044215966605991,1.1300393426670634,4,3,43
15,15,frozenset({3978011}),frozenset({803921}),0.03189233509570528,0.01834940201871696,0.002629421244592723,0.0824468085106383,4.493160508802413,0.002044215966605991,1.0698568835969926,4,3,43
16,16,frozenset({803921}),frozenset({4108011}),0.01834940201871696,0.03553959682207583,0.0013005739489383359,0.07087827426810478,1.9943466050824168,0.0006484435992669509,1.0380344969526911,1,2,12
17,17,frozenset({4108011}),frozenset({803921}),0.03553959682207583,0.01834940201871696,0.0013005739489383359,0.0365950676213206,1.9943466050824168,0.0006484435992669509,1.0189387296965091,1,2,12
18,18,frozenset({803921}),frozenset({4628597}),0.01834940201871696,0.06717747179733666,0.0021205010037038084,0.11556240369799692,1.7202553267653418,0.0008878345670934578,1.054707004884196,3,1,31
19,19,frozenset({4628597}),frozenset({803921}),0.06717747179733666,0.01834940201871696,0.0021205010037038084,0.03156565656565656,1.7202553267653418,0.0008878345670934578,1.0136470320745452,3,1,31
20,20,frozenset({4628597}),frozenset({1832285}),0.06717747179733666,0.012525092595210495,0.0018377675365433008,0.027356902356902357,2.1841676737274933,0.0009963634819695174,1.0152489744672348,3,2,32
21,21,frozenset({1832285}),frozenset({4628597}),0.012525092595210495,0.06717747179733666,0.0018377675365433008,0.14672686230248305,2.1841676737274924,0.0009963634819695174,1.0932285185020632,3,2,32
22,22,frozenset({4628597}),frozenset({2072671}),0.06717747179733666,0.011365885379852413,0.0013571206423704373,0.0202020202020202,1.7774260013065983,0.0005935891978136407,1.0090183231690166,2,1,21
23,23,frozenset({2072671}),frozenset({4628597}),0.011365885379852413,0.06717747179733666,0.0013571206423704373,0.11940298507462685,1.777426001306598,0.0005935891978136407,1.0593069388064142,2,1,21
24,24,frozenset({2698353}),frozenset({4628597}),0.020102349515112104,0.06717747179733666,0.0021205010037038084,0.10548523206751056,1.5702471266817255,0.0007700759860921609,1.0428251848303358,3,1,31
25,25,frozenset({4628597}),frozenset({2698353}),0.06717747179733666,0.020102349515112104,0.0021205010037038084,0.03156565656565656,1.5702471266817255,0.0007700759860921609,1.0118369480886975,3,1,31
26,26,frozenset({2698353}),frozenset({9277426}),0.020102349515112104,0.019904436088099747,0.0017246741496790975,0.08579465541490858,4.310328362741338,0.0013245482185349055,1.0720737629867094,3,3,33
27,27,frozenset({9277426}),frozenset({2698353}),0.019904436088099747,0.020102349515112104,0.0017246741496790975,0.08664772727272728,4.310328362741338,0.0013245482185349055,1.0728583918217125,3,3,33
28,28,frozenset({2708353}),frozenset({4628597}),0.011903078967457377,0.06717747179733666,0.0014702140292346404,0.12351543942992875,1.838643761446612,0.0006705952775968015,1.0642771934236348,2,2,22
