,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({3524026}),frozenset({264715}),0.03491758319432271,0.010913511832395601,0.0014702140292346406,0.042105263157894736,3.8580856285792198,0.001089140571884742,1.0325628173178287
1,frozenset({264715}),frozenset({3524026}),0.010913511832395601,0.03491758319432271,0.0014702140292346406,0.13471502590673576,3.85808562857922,0.001089140571884742,1.1153347691227289
2,frozenset({264715}),frozenset({3978011}),0.010913511832395601,0.03189233509570528,0.0012157539087901835,0.11139896373056994,3.4929698122221,0.0008676965323604784,1.0894739319331128
3,frozenset({3978011}),frozenset({264715}),0.03189233509570528,0.010913511832395601,0.0012157539087901835,0.038120567375886524,3.4929698122220993,0.0008676965323604784,1.028285307514339
4,frozenset({264715}),frozenset({4108011}),0.010913511832395601,0.03553959682207583,0.0012440272555062342,0.11398963730569947,3.2073981558196376,0.0008561654450699405,1.0885430281481834
5,frozenset({4108011}),frozenset({264715}),0.03553959682207583,0.010913511832395601,0.0012440272555062342,0.035003977724741446,3.2073981558196376,0.0008561654450699405,1.0249643162627193
6,frozenset({264715}),frozenset({4628597}),0.010913511832395601,0.06717747179733666,0.0014984873759506913,0.13730569948186527,2.0439247832382543,0.0007653452426200359,1.0812897774361203
7,frozenset({4628597}),frozenset({264715}),0.06717747179733666,0.010913511832395601,0.0014984873759506913,0.022306397306397305,2.0439247832382548,0.0007653452426200359,1.0116528178589013
8,frozenset({4108011}),frozenset({726718}),0.03553959682207583,0.01560688738726003,0.0012440272555062342,0.035003977724741446,2.2428545075115585,0.0006893647701154723,1.020100694603639
9,frozenset({726718}),frozenset({4108011}),0.01560688738726003,0.03553959682207583,0.0012440272555062342,0.07971014492753623,2.242854507511558,0.0006893647701154723,1.0479963436106579
10,frozenset({4628597}),frozenset({726718}),0.06717747179733666,0.01560688738726003,0.001922587576691453,0.028619528619528618,1.8337755575074415,0.0008741563393895831,1.013396029275507
